<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.01	1.17210	1.17694	1.17171	1.17465	57598	0	0
2020.10.02	1.17489	1.17489	1.16957	1.17165	65348	0	0
2020.10.05	1.17131	1.17974	1.17053	1.17825	41921	0	0
2020.10.06	1.17826	1.18076	1.17316	1.17334	50635	0	0
2020.10.07	1.17335	1.17818	1.17248	1.17628	46612	0	0
2020.10.08	1.17624	1.17816	1.17324	1.17582	39212	0	0
2020.10.09	1.17587	1.18304	1.17551	1.18293	40290	0	0
2020.10.12	1.18173	1.18265	1.17866	1.18120	34400	0	0
2020.10.13	1.18120	1.18155	1.17305	1.17446	40707	0	0
2020.10.14	1.17452	1.17712	1.17195	1.17452	41998	0	0
2020.10.15	1.17452	1.17576	1.16882	1.17073	46911	0	0
2020.10.16	1.17073	1.17460	1.16939	1.17160	41654	0	0
2020.10.19	1.17195	1.17936	1.17030	1.17695	38192	0	0
2020.10.20	1.17695	1.18407	1.17598	1.18211	38813	0	0
2020.10.21	1.18214	1.18806	1.18208	1.18598	47267	0	0
2020.10.22	1.18582	1.18667	1.18114	1.18177	41611	0	0
2020.10.23	1.18177	1.18646	1.17867	1.18598	41119	0	0
2020.10.26	1.18551	1.18554	1.18031	1.18087	41221	0	0
2020.10.27	1.18087	1.18387	1.17818	1.17870	37585	0	0
2020.10.28	1.17870	1.17879	1.17178	1.17451	48573	0	0
2020.10.29	1.17451	1.17586	1.16499	1.16740	50814	0	0
2020.10.30	1.16741	1.17040	1.16398	1.16462	50353	0	0
2020.11.02	1.16468	1.16556	1.16221	1.16404	42757	0	0
2020.11.03	1.16406	1.17396	1.16323	1.17150	38341	0	0
2020.11.04	1.17150	1.17704	1.16019	1.17244	91397	0	0
2020.11.05	1.17244	1.18598	1.17108	1.18267	85434	0	0
2020.11.06	1.18272	1.18909	1.17954	1.18746	80267	0	0
2020.11.09	1.18873	1.19200	1.17951	1.18127	102576	0	0
2020.11.10	1.18124	1.18432	1.17798	1.18136	88041	0	0
2020.11.11	1.18138	1.18328	1.17455	1.17771	53264	0	0
2020.11.12	1.17771	1.18231	1.17586	1.18048	57097	0	0
2020.11.13	1.18047	1.18372	1.17989	1.18326	45110	0	0
