<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.01	00:00:00	136.240	136.308	136.158	136.160	652	0	56
2020.10.01	01:00:00	136.160	136.286	136.135	136.252	1282	0	5
2020.10.01	02:00:00	136.255	136.290	136.159	136.197	1166	0	3
2020.10.01	03:00:00	136.197	136.348	136.192	136.252	2000	0	4
2020.10.01	04:00:00	136.252	136.514	136.249	136.475	2160	0	1
2020.10.01	05:00:00	136.475	136.532	136.417	136.431	1306	0	5
2020.10.01	06:00:00	136.431	136.484	136.376	136.416	1211	0	0
2020.10.01	07:00:00	136.416	136.447	136.389	136.413	1330	0	9
2020.10.01	08:00:00	136.413	136.590	136.407	136.555	1813	0	2
2020.10.01	09:00:00	136.553	136.634	136.501	136.512	3488	0	4
2020.10.01	10:00:00	136.512	136.579	135.846	136.034	5984	0	1
2020.10.01	11:00:00	136.033	136.082	135.356	135.414	6429	0	0
2020.10.01	12:00:00	135.414	135.700	135.373	135.621	5251	0	1
2020.10.01	13:00:00	135.621	135.680	135.428	135.526	4061	0	1
2020.10.01	14:00:00	135.525	136.867	135.462	136.739	9009	0	1
2020.10.01	15:00:00	136.739	137.008	136.556	136.722	6206	0	2
2020.10.01	16:00:00	136.717	136.833	135.991	136.025	7601	0	1
2020.10.01	17:00:00	136.032	136.293	135.843	135.948	6836	0	3
2020.10.01	18:00:00	135.945	136.199	135.825	136.137	5759	0	1
2020.10.01	19:00:00	136.136	136.141	135.937	136.094	3443	0	2
2020.10.01	20:00:00	136.094	136.151	135.913	135.943	2253	0	3
2020.10.01	21:00:00	135.942	136.100	135.912	136.080	3561	0	6
2020.10.01	22:00:00	136.080	136.109	135.948	136.011	2612	0	7
2020.10.01	23:00:00	136.012	136.086	135.973	135.973	1045	0	7
2020.10.02	00:00:00	136.034	136.057	135.867	135.937	1354	0	91
2020.10.02	01:00:00	135.965	136.063	135.837	136.039	911	0	2
2020.10.02	02:00:00	136.039	136.045	135.979	135.999	1115	0	4
2020.10.02	03:00:00	135.999	136.065	135.845	135.897	2227	0	1
2020.10.02	04:00:00	135.897	135.990	135.862	135.926	1720	0	4
2020.10.02	05:00:00	135.926	135.941	135.780	135.845	1689	0	7
2020.10.02	06:00:00	135.843	135.905	135.810	135.881	1507	0	12
2020.10.02	07:00:00	135.881	135.909	135.502	135.557	1854	0	0
2020.10.02	08:00:00	135.558	135.563	135.076	135.241	6539	0	1
2020.10.02	09:00:00	135.237	135.564	135.044	135.303	6063	0	1
2020.10.02	10:00:00	135.302	136.102	135.197	135.829	7333	0	0
2020.10.02	11:00:00	135.829	136.254	135.604	136.181	5873	0	0
2020.10.02	12:00:00	136.178	136.269	135.747	135.786	4892	0	0
2020.10.02	13:00:00	135.785	135.908	135.685	135.856	4236	0	1
2020.10.02	14:00:00	135.855	136.182	135.724	136.085	4733	0	3
2020.10.02	15:00:00	136.085	136.249	135.944	136.007	6037	0	2
2020.10.02	16:00:00	136.007	136.218	135.633	136.071	7518	0	3
2020.10.02	17:00:00	136.072	136.388	136.044	136.236	6798	0	2
2020.10.02	18:00:00	136.235	136.381	136.138	136.197	5287	0	1
2020.10.02	19:00:00	136.196	136.382	136.110	136.254	4440	0	1
2020.10.02	20:00:00	136.254	136.360	136.191	136.282	3116	0	4
2020.10.02	21:00:00	136.282	136.339	136.231	136.302	2507	0	9
2020.10.02	22:00:00	136.295	136.328	136.204	136.294	2876	0	9
2020.10.02	23:00:00	136.294	136.378	136.260	136.262	1587	0	6
2020.10.05	00:00:00	136.043	136.364	135.983	136.244	587	0	74
2020.10.05	01:00:00	136.244	136.480	136.174	136.427	2072	0	12
2020.10.05	02:00:00	136.429	136.511	136.370	136.414	2543	0	8
2020.10.05	03:00:00	136.414	136.729	136.402	136.612	3025	0	2
2020.10.05	04:00:00	136.612	136.647	136.522	136.596	2389	0	5
2020.10.05	05:00:00	136.596	136.671	136.570	136.645	1795	0	5
2020.10.05	06:00:00	136.646	136.666	136.517	136.540	1105	0	3
2020.10.05	07:00:00	136.532	136.594	136.510	136.569	1592	0	7
2020.10.05	08:00:00	136.569	136.591	136.526	136.548	1544	0	8
2020.10.05	09:00:00	136.549	136.571	136.363	136.410	2693	0	1
2020.10.05	10:00:00	136.410	136.641	136.223	136.559	4499	0	2
2020.10.05	11:00:00	136.558	136.994	136.508	136.824	4211	0	0
2020.10.05	12:00:00	136.823	136.940	136.735	136.787	3595	0	4
2020.10.05	13:00:00	136.786	136.893	136.597	136.778	3113	0	2
2020.10.05	14:00:00	136.778	136.867	136.648	136.792	3852	0	3
2020.10.05	15:00:00	136.798	136.950	136.696	136.889	4002	0	1
2020.10.05	16:00:00	136.894	137.130	136.889	136.918	5059	0	1
2020.10.05	17:00:00	136.918	137.138	136.918	137.050	5617	0	2
2020.10.05	18:00:00	137.051	137.173	136.992	137.098	3816	0	6
2020.10.05	19:00:00	137.099	137.340	137.068	137.257	2718	0	8
2020.10.05	20:00:00	137.256	137.333	137.122	137.142	2330	0	7
2020.10.05	21:00:00	137.143	137.213	137.119	137.130	2051	0	10
2020.10.05	22:00:00	137.130	137.342	137.118	137.315	2016	0	6
2020.10.05	23:00:00	137.315	137.315	137.227	137.239	1598	0	5
2020.10.06	00:00:00	137.221	137.228	137.098	137.171	464	0	5
2020.10.06	01:00:00	137.171	137.420	137.159	137.399	1281	0	6
2020.10.06	02:00:00	137.399	137.404	137.293	137.342	1355	0	1
2020.10.06	03:00:00	137.342	137.373	137.184	137.298	2275	0	6
2020.10.06	04:00:00	137.299	137.341	137.174	137.181	1841	0	11
2020.10.06	05:00:00	137.179	137.272	137.167	137.233	1139	0	1
2020.10.06	06:00:00	137.233	137.357	137.186	137.237	1925	0	3
2020.10.06	07:00:00	137.237	137.273	137.179	137.184	1574	0	6
2020.10.06	08:00:00	137.184	137.227	137.151	137.203	1755	0	7
2020.10.06	09:00:00	137.221	137.294	137.159	137.285	2551	0	5
2020.10.06	10:00:00	137.287	137.441	137.083	137.129	5021	0	0
2020.10.06	11:00:00	137.129	137.164	136.796	137.105	5052	0	2
2020.10.06	12:00:00	137.104	137.165	136.936	136.939	3226	0	1
2020.10.06	13:00:00	136.937	137.093	136.404	136.618	4281	0	2
2020.10.06	14:00:00	136.618	136.878	136.513	136.781	4530	0	1
2020.10.06	15:00:00	136.781	136.888	136.597	136.638	3996	0	1
2020.10.06	16:00:00	136.638	137.171	136.583	136.899	6167	0	0
2020.10.06	17:00:00	136.897	137.101	136.882	136.996	4843	0	4
2020.10.06	18:00:00	136.993	137.054	136.705	136.740	3887	0	2
2020.10.06	19:00:00	136.743	136.831	136.647	136.820	3318	0	4
2020.10.06	20:00:00	136.821	136.824	136.594	136.683	2079	0	4
2020.10.06	21:00:00	136.682	136.799	136.020	136.199	3586	0	0
