<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.01	00:00:00	1.29170	1.29218	1.29135	1.29160	517	0	30
2020.10.01	01:00:00	1.29160	1.29277	1.29143	1.29251	590	0	6
2020.10.01	02:00:00	1.29262	1.29262	1.29151	1.29157	617	0	2
2020.10.01	03:00:00	1.29157	1.29230	1.29129	1.29146	1226	0	0
2020.10.01	04:00:00	1.29146	1.29377	1.29145	1.29346	1761	0	0
2020.10.01	05:00:00	1.29346	1.29388	1.29336	1.29365	1018	0	1
2020.10.01	06:00:00	1.29365	1.29411	1.29317	1.29355	811	0	1
2020.10.01	07:00:00	1.29355	1.29404	1.29325	1.29374	726	0	5
2020.10.01	08:00:00	1.29374	1.29460	1.29344	1.29425	962	0	1
2020.10.01	09:00:00	1.29425	1.29495	1.29388	1.29413	2240	0	1
2020.10.01	10:00:00	1.29411	1.29450	1.28727	1.28898	4700	0	0
2020.10.01	11:00:00	1.28898	1.28955	1.28185	1.28240	4968	0	0
2020.10.01	12:00:00	1.28241	1.28540	1.28211	1.28498	3960	0	1
2020.10.01	13:00:00	1.28495	1.28551	1.28249	1.28350	2851	0	1
2020.10.01	14:00:00	1.28345	1.29762	1.28280	1.29651	6786	0	0
2020.10.01	15:00:00	1.29656	1.29784	1.29492	1.29500	4048	0	1
2020.10.01	16:00:00	1.29497	1.29610	1.28667	1.28688	6226	0	0
2020.10.01	17:00:00	1.28688	1.28980	1.28603	1.28691	5335	0	0
2020.10.01	18:00:00	1.28693	1.29051	1.28610	1.28999	3747	0	1
2020.10.01	19:00:00	1.28997	1.29001	1.28767	1.28938	3084	0	3
2020.10.01	20:00:00	1.28938	1.28982	1.28718	1.28752	2151	0	2
2020.10.01	21:00:00	1.28751	1.28932	1.28712	1.28920	3111	0	3
2020.10.01	22:00:00	1.28921	1.28955	1.28808	1.28872	2435	0	4
2020.10.01	23:00:00	1.28874	1.28945	1.28837	1.28859	958	0	3
2020.10.02	00:00:00	1.28924	1.28959	1.28790	1.28836	544	0	37
2020.10.02	01:00:00	1.28836	1.28884	1.28775	1.28870	830	0	2
2020.10.02	02:00:00	1.28870	1.28872	1.28838	1.28855	513	0	6
2020.10.02	03:00:00	1.28855	1.28884	1.28720	1.28754	1196	0	1
2020.10.02	04:00:00	1.28754	1.28806	1.28713	1.28732	1143	0	6
2020.10.02	05:00:00	1.28732	1.28732	1.28554	1.28608	1193	0	1
2020.10.02	06:00:00	1.28604	1.28650	1.28583	1.28620	1148	0	3
2020.10.02	07:00:00	1.28620	1.28658	1.28360	1.28429	1432	0	2
2020.10.02	08:00:00	1.28429	1.28820	1.28367	1.28690	4408	0	1
2020.10.02	09:00:00	1.28690	1.28850	1.28644	1.28774	3826	0	1
2020.10.02	10:00:00	1.28774	1.29401	1.28608	1.29151	5654	0	0
2020.10.02	11:00:00	1.29151	1.29539	1.28948	1.29449	4957	0	0
2020.10.02	12:00:00	1.29461	1.29520	1.29137	1.29156	3552	0	2
2020.10.02	13:00:00	1.29155	1.29258	1.29030	1.29164	3375	0	1
2020.10.02	14:00:00	1.29164	1.29482	1.29035	1.29395	3877	0	1
2020.10.02	15:00:00	1.29394	1.29493	1.29201	1.29280	4334	0	0
2020.10.02	16:00:00	1.29279	1.29397	1.28920	1.29280	5989	0	0
2020.10.02	17:00:00	1.29280	1.29460	1.29139	1.29310	4908	0	0
2020.10.02	18:00:00	1.29304	1.29459	1.29208	1.29267	3880	0	1
2020.10.02	19:00:00	1.29262	1.29451	1.29177	1.29308	3868	0	1
2020.10.02	20:00:00	1.29306	1.29414	1.29248	1.29336	3060	0	1
2020.10.02	21:00:00	1.29336	1.29401	1.29277	1.29331	2175	0	1
